Date,Close/Last,Volume,Open,High,Low,,,
09/09/2020,1790.5,258,1796.5,1799,1779.5,,,
09/08/2020,1806,469,1801.25,1811,1780,,,
09/04/2020,1793.75,148,1795.5,1796,1781.25,,,
09/03/2020,1787,183,1793,1796.5,1777.75,,,
09/02/2020,1794.75,298,1819.25,1821.5,1792,,,
09/01/2020,1817.5,338,1803,1827.5,1803,,,
08/28/2020,1801.75,158,1787.75,1808,1784.5,,,
08/27/2020,1783.75,210,1788,1791,1775,,,
08/26/2020,1782.25,499,1783.25,1795.75,1782,,,
08/25/2020,1783,287,1767.75,1784,1765,,,
08/03/2020,1754.5,15,1754.5,1754.5,1754.5,,,
07/31/2020,1713.25,17,1712.5,1728.5,1712.5,,,
07/29/2020,1717.75,10,1717.75,1717.75,1717.75,,,
07/27/2020,1701,44,1701,1701,1701,,,
07/24/2020,1696,10,1696,1696,1696,,,
07/23/2020,1697,16,1697,1697,1697,,,
07/21/2020,1691.75,51,1691.75,1691.75,1691.75,,,
07/20/2020,1688,61,1673.75,1673.75,1671.25,,,
07/17/2020,1670.25,20,1670.25,1670.25,1670.25,,,
07/16/2020,1668.5,116,1668.5,1668.5,1668.5,,,
07/10/2020,1630.25,78,1641.25,1656.75,1641.25,,,
07/08/2020,1654,8,1621.5,1621.5,1621.5,,,
07/07/2020,1617.25,49,1621.5,1621.5,1621.5,,,
07/06/2020,1641.25,171,1632.5,1644.25,1632,,,
07/02/2020,1631,114,1632,1637.5,1626.5,,,
07/01/2020,1631.5,701,1639.5,1645.25,1626.25,,,
06/17/2020,1603.25,1,1615,1615,1615,,,
06/16/2020,1594.5,11,1594.5,1594.5,1594.5,,,
06/12/2020,1605,5,1605,1605,1605,,,
06/10/2020,1633.75,5,1633.75,1633.75,1633.75,,,
06/09/2020,1613.75,5,1613.75,1613.75,1613.75,,,
06/08/2020,1618,10,1625.25,1625.25,1625.25,,,
06/05/2020,1599.75,29,1599.75,1599.75,1599.75,,,
06/04/2020,1577.25,28,1585.25,1585.25,1581.25,,,
06/03/2020,1580.25,35,1580.25,1580.25,1580.25,,,
06/02/2020,1564,15,1528.25,1530,1528.25,,,
