Date,Close/Last,Volume,Open,High,Low
11/07/2019,1780.3,N/A,1780.3,1780.3,1780.3
11/06/2019,1761.1,2849,1763.6,1764.6,1754.2
11/05/2019,1746.7,4144,1750.4,1760.9,1731.7
11/04/2019,1752.8,3949,1783.4,1796.3,1745.8
11/01/2019,1786.8,N/A,1786.8,1786.8,1786.8
10/31/2019,1755.6,4336,1782.8,1798.2,1748.7
10/30/2019,1794.6,N/A,1794.6,1794.6,1794.6
10/29/2019,1755.1,2508,1774.6,1779,1749.4
10/28/2019,1779.3,3457,1741,1784.9,1740.4
10/25/2019,1745.6,N/A,1745.6,1745.6,1745.6
10/24/2019,1747.9,3456,1716.7,1757.9,1713.2
10/23/2019,1714.6,2981,1726.2,1734.6,1703
10/22/2019,1728.5,1716,1731.9,1739.7,1720.9
10/21/2019,1725.3,2604,1726.9,1746.2,1718.6
10/18/2019,1719,N/A,1719,1719,1719
10/17/2019,1730.7,3416,1732.8,1750,1721
10/16/2019,1735,4435,1701.2,1744.7,1696.7
10/15/2019,1696.6,2960,1679,1706.2,1676.2
10/14/2019,1687,3020,1668.1,1688.6,1657.3
10/11/2019,1670.1,2720,1676.3,1679.6,1654.9
10/10/2019,1675.9,4241,1655.7,1677.3,1645
10/09/2019,1654.7,2903,1649.3,1667.3,1630.7
10/08/2019,1652.1,N/A,1652.1,1652.1,1652.1
10/07/2019,1646.3,2159,1645.4,1648,1623.5
10/04/2019,1643.8,N/A,1643.8,1643.8,1643.8
10/03/2019,1630.2,4055,1662.9,1667.3,1618.1
10/02/2019,1666.9,N/A,1666.9,1666.9,1666.9
10/01/2019,1630.7,3105,1647.5,1653.8,1621
09/30/2019,1647.5,4624,1654.2,1669.4,1628.3
09/27/2019,1652.9,3624,1640.4,1662.8,1620
09/26/2019,1642.9,4075,1611.9,1644.3,1611.9
09/25/2019,1611.8,4404,1646.1,1648.7,1602.3
09/24/2019,1648.2,3,1693,1693,1693
09/23/2019,1625.6,2351,1616.2,1643.3,1616.1
09/20/2019,1626.8,2,1631.4,1639.7,1631.4
09/19/2019,1612.6,4170,1582.4,1617.3,1575.4
09/18/2019,1582.2,3749,1591.7,1599.1,1563.2
09/17/2019,1597.7,2766,1599.8,1607.4,1582.2
09/16/2019,1591.5,N/A,1591.5,1591.5,1591.5
09/13/2019,1600.5,N/A,1600.5,1600.5,1600.5
09/12/2019,1604.8,5469,1564.3,1616.5,1564.2
09/11/2019,1556.8,4282,1554.1,1584.6,1549.6
09/10/2019,1554.1,2730,1538.4,1557,1530.4
09/09/2019,1536.8,2382,1538.7,1557.6,1518.6
09/06/2019,1544.1,1,1535,1535,1535
09/05/2019,1561.1,3653,1554.9,1564,1536
09/04/2019,1552.1,3373,1538.2,1558.3,1533
09/03/2019,1535.2,4933,1530.1,1541.9,1514
08/30/2019,1531,7366,1467,1543.2,1466.9
08/29/2019,1471.5,4087,1466.9,1485.4,1462
08/28/2019,1462.5,5313,1478.1,1479.4,1454.2
08/27/2019,1481,3695,1473,1483,1469.3
08/26/2019,1474.9,3470,1455,1475.9,1450
08/23/2019,1456.8,3344,1482.3,1486.5,1452.6
08/22/2019,1484,1,1480,1480,1480
08/21/2019,1465.5,4222,1484.8,1488.5,1457.2
08/20/2019,1489.7,3198,1472.4,1490.9,1469.8
08/19/2019,1474.3,4112,1442,1479.1,1438.6
08/16/2019,1441.3,3374,1439.8,1447.9,1434
08/15/2019,1438.6,2931,1416.3,1444,1414.1
08/14/2019,1416.4,3743,1448,1449.4,1412
08/13/2019,1451.5,3746,1422.5,1455.6,1412
08/12/2019,1430.8,3003,1419.1,1434.8,1410.3
08/09/2019,1419.3,2570,1416.4,1430.2,1412.7
08/08/2019,1413.5,3219,1408.7,1429.6,1405.7
08/07/2019,1405.1,N/A,1405.1,1405.1,1405.1
08/06/2019,1437,3142,1416.5,1443.8,1415.6
08/05/2019,1416.3,4356,1402.5,1448,1390
08/02/2019,1404.2,6964,1430.9,1444,1378.2
08/01/2019,1414.3,9662,1517.5,1521.3,1409.1
07/31/2019,1524.4,3292,1512.6,1538.6,1512.5
07/30/2019,1509.1,3862,1553.2,1554.7,1505.2
07/29/2019,1553.8,3200,1529,1560,1515.3
07/26/2019,1527.5,N/A,1527.5,1527.5,1527.5
07/25/2019,1533.9,2453,1540,1544.9,1525.3
07/24/2019,1538.5,2209,1523.5,1540,1518
07/23/2019,1518.6,2005,1524.8,1528.1,1511.7
07/22/2019,1529.2,2855,1507.1,1531.2,1495.3
07/19/2019,1508.3,3700,1527.3,1534,1495.5
